DATE,AAPL,META,MSFT,GOOG,AMZN,MKT,SMB,HML,RF,WINDOW,LAAPL,LMETA,LMSFT,LGOOG,LAMZN,RAAPL,RMETA,RMSFT,RGOOG,RAMZN,ERAAPL,ERMETA,ERMSFT,ERGOOG,ERAMZN
01/02/2019,40.009571,165.710007,97.599594,55.537498,81.311501,0.14,-0.14,0.43,0.01,0,1.602163895,2.219348736,1.989448011,1.744586311,1.910151978,0.020862441,-0.256081614,-0.691675978,-0.219185877,-2.402568877,0.010862441,-0.266081614,-0.701675978,-0.229185877,-2.412568877
04/02/2019,41.146034,169.25,100.410408,56.639999,81.665497,0.72,0.49,-0.47,0.01,0,1.614327981,2.228528677,2.001778732,1.753123237,1.912038609,1.216408591,0.91799417,1.233072069,0.85369264,0.188663128,1.206408591,0.90799417,1.223072069,0.84369264,0.178663128
05/02/2019,41.850029,171.160004,101.815819,57.2995,82.940498,0.43,-0.08,-0.6,0.01,0,1.621695763,2.233402288,2.007815259,1.758150832,1.918766639,0.736778265,0.48736106,0.603652729,0.502759528,0.672802923,0.726778265,0.47736106,0.593652729,0.492759528,0.662802923
06/02/2019,41.864445,170.490005,100.685799,55.761501,82.013,-0.22,-0.02,0.07,0.01,0,1.621845338,2.231698924,2.002968221,1.746334456,1.913882698,0.014957483,-0.170336446,-0.484703826,-1.181637662,-0.488394018,0.004957483,-0.180336446,-0.494703826,-1.191637662,-0.498394018
07/02/2019,41.07156,166.380005,99.964088,54.935501,80.718498,-0.93,-0.14,0.4,0.01,0,1.613541199,2.221101133,1.999844008,1.73985309,1.906973072,-0.830413936,-1.059779049,-0.312421264,-0.648136614,-0.690962649,-0.840413936,-1.069779049,-0.322421264,-0.658136614,-0.700962649
08/02/2019,41.119823,167.330002,100.343933,54.752998,79.411003,0.09,0.05,-0.69,0.01,0,1.614051237,2.223573816,2.001491119,1.738407904,1.899880681,0.051003782,0.247268323,0.164711113,-0.144518559,-0.70923906,0.041003782,0.237268323,0.154711113,-0.154518559,-0.71923906
11/02/2019,40.883343,165.789993,99.945107,54.7505,79.550003,0.14,0.66,0.23,0.01,0,1.611546401,2.219558313,1.999761537,1.73838809,1.9006402,-0.250483606,-0.401550304,-0.172958201,-0.00198143,0.075951895,-0.260483606,-0.411550304,-0.182958201,-0.01198143,0.065951895
12/02/2019,41.235638,165.039993,101.502441,56.068501,81.900497,1.36,0.02,-0.16,0.01,0,1.615272718,2.217589197,2.006476487,1.748718945,1.913286537,0.372631787,-0.196911667,0.671494931,1.033085567,1.264633685,0.362631787,-0.206911667,0.661494931,1.023085567,1.254633685
13/02/2019,41.064316,164.070007,101.42646,56.007999,82,0.28,0.07,0.07,0.01,0,1.613464593,2.215029197,2.006151268,1.748250057,1.913813852,-0.180812511,-0.255999992,-0.032521864,-0.046888843,0.052731517,-0.190812511,-0.265999992,-0.042521864,-0.056888843,0.042731517
14/02/2019,41.213924,163.949997,101.511925,56.0835,81.1325,-0.21,0.52,-0.58,0.01,0,1.615043966,2.214711413,2.006517064,1.748835109,1.909194858,0.157937264,-0.031778356,0.036579556,0.058505191,-0.461899394,0.147937264,-0.041778356,0.026579556,0.048505191,-0.471899394
